Lutadores;BackGround
Colton Smith;Brazilian Jiu Jitsu
Conor McGregor;Boxing
Corey Anderson;MMA
Corey Hill;Wrestling
Costas Philippou;Boxing
Court McGee;Wrestling
Cristiano Marcello;Brazilian Jiu Jitsu
Cub Swanson;Brazilian Jiu Jitsu
Cung Le;Taekwondo
Curt Warburton;MMA
Cyrille Diabate;Kickboxing
Dale Hartt;MMA
DaMarques Johnson;Brazilian Jiu Jitsu
Damon Jackson;Wrestling
Dan Bobish;Wrestling
Dan Christison;MMA
Dan Cramer;MMA
Dan Hardy;Taekwondo
Dan Henderson;Wrestling
Dan Miller;Brazilian Jiu Jitsu
Dan Severn;Judo
Daniel Cormier;Wrestling
Daniel Hooker;Muay Thai
Daniel Kelly;Judo
Daniel Omielanczuk;MMA
Daniel Pineda;Brazilian Jiu Jitsu
Daniel Roberts;Wrestling
Daniel Sarafian;Brazilian Jiu Jitsu
Danny Castillo;Brazilian Jiu Jitsu
Danny Martinez;MMA
Danny Roberts;Boxing
Daron Cruickshank;Wrestling
Darren Elkins;Wrestling
Darren Till;Muay Thai
Darren Uyenoyama;Brazilian Jiu Jitsu
Dave Beneteau;Wrestling
Dave Herman;Wrestling
Dave Menne;MMA
Dave Strasser;Wrestling
David Abbott;Wrestling
David Bielkheden;Brazilian Jiu Jitsu
David Branch;Brazilian Jiu Jitsu
David Heath;MMA
David Loiseau;MMA
David Michaud;Wrestling
David Mitchell;Brazilian Jiu Jitsu
David Terrell;Brazilian Jiu Jitsu
Dean Lister;Wrestling
Demetrious Johnson;Wrestling
Demian Maia;Brazilian Jiu Jitsu
Denis Kang;Brazilian Jiu Jitsu
Dennis Bermudez;Wrestling
Dennis Hallman;Wrestling
Dennis Siver;Taekwondo
Derek Brunson;Boxing
Derrick Lewis;MMA
Dhiego Lima;MMA
Diego Brandao;Brazilian Jiu Jitsu
Diego Nunes;Muay Thai
Diego Rivas;Brazilian Jiu Jitsu
Diego Sanchez;Brazilian Jiu Jitsu
Din Thomas;Brazilian Jiu Jitsu
Dominick Cruz;Wrestling
Dominique Steele;Wrestling
Don Frye;Wrestling
Donald Cerrone;Muay Thai
Dong Hyun Kim;Judo
Dongi Yang;Judo
Doo Ho Choi;Boxing
Douglas Silva de Andrade;Boxing
Drew Dober;Muay Thai
Drew Fickett;Brazilian Jiu Jitsu
Drew McFedries;MMA
Duane Ludwig;Kickboxing
Dustin Hazelett;Brazilian Jiu Jitsu
Dustin Kimura;Kickboxing
Dustin Ortiz;Brazilian Jiu Jitsu
Dustin Pague;Boxing
Dustin Poirier;Brazilian Jiu Jitsu
Dwayne Cason;Wrestling
Dylan Andrews;MMA
Ebenezer Fontes Braga;MMA
Ed Herman;Brazilian Jiu Jitsu
Eddie Alvarez;Boxing
Eddie Gordon;Boxing
Eddie Sanchez;MMA
Eddie Wineland;Wrestling
Eddie Yagin;MMA
Edimilson Souza;MMA
Edson Barboza;Muay Thai
Edwin Figueroa;Boxing
Efrain Escudero;Wrestling
Elias Silverio;MMA
Elias Theodorou;MMA
Eliot Marshall;Brazilian Jiu Jitsu
Elizabeth Phillips;MMA
Elvis Sinosic;Brazilian Jiu Jitsu
Enrique Barzola;Wrestling
Enrique Briones;MMA
Enson Inoue;Brazilian Jiu Jitsu
Eric Schafer;Brazilian Jiu Jitsu
Erick Montano;MMA
Erick Silva;Brazilian Jiu Jitsu
Erik Koch;Taekwondo
Erik Perez;MMA
Ernest Chavez;MMA
Eugene Jackson;MMA
Evan Dunham;Wrestling
Evan Tanner;Wrestling
Fabiano Iha;Brazilian Jiu Jitsu
Fabio Maldonado;Boxing
Fabricio Camoes;Brazilian Jiu Jitsu
Fabricio Werdum;Brazilian Jiu Jitsu
Falaniko Vitale;Wrestling
Felice Herrig;Muay Thai
Felipe Arantes;Muay Thai
Forrest Griffin;Brazilian Jiu Jitsu
Forrest Petz;Wrestling
Francimar Barroso;Brazilian Jiu Jitsu
Francis Carmont;Wrestling
Francis Ngannou;Boxing
Francisco Rivera;MMA
Francisco Trevino;MMA
Francisco Trinaldo;Kickboxing
Frank Hamaker;MMA
Frank Mir;Karate
Frank Shamrock;Boxing
Frank Trigg;Wrestling
Frankie Edgar;Wrestling
Frankie Perez;Brazilian Jiu Jitsu
Frankie Saenz;Wrestling
Freddy Serrano;Wrestling
Gabriel Benitez;Boxing
Gabriel Gonzaga;Brazilian Jiu Jitsu
Gan McGee;Wrestling
Garreth McLellan;Karate
Gary Goodridge;Kickboxing
Gasan Umalatov;Russian Sambo
Geane Herrera;Brazilian Jiu Jitsu
Gegard Mousasi;Kickboxing
Genki Sudo;Brazilian Jiu Jitsu
George Roop;Taekwondo
George Sotiropoulos;Brazilian Jiu Jitsu
George Sullivan;Brazilian Jiu Jitsu
Georges St. Pierre;Wrestling
Gerald Harris;Wrestling
Gerard Gordeau;Karate
Germaine de Randamie;Kickboxing
Geza Kalman;MMA
Gian Villante;Kickboxing
Gil Castillo;Wrestling
Gilbert Burns;Brazilian Jiu Jitsu
Gilbert Melendez;Boxing
Glaico Franca;MMA
Gleison Tibau;Brazilian Jiu Jitsu
Glover Teixeira;Boxing
Godofredo Castro;Brazilian Jiu Jitsu
Goran Reljic;Brazilian Jiu Jitsu
Gray Maynard;Boxing
Greg Soto;Brazilian Jiu Jitsu
Guangyou Ning;Muay Thai
Guido Cannetti;Muay Thai
Gunnar Nelson;Karate
Guy Mezger;Kickboxing
Hacran Dias;Brazilian Jiu Jitsu
Hans Stringer;Brazilian Jiu Jitsu
Harold Howard;Karate
Hatsu Hioki;Brazilian Jiu Jitsu
Heath Herring;Wrestling
Heather Clark;Brazilian Jiu Jitsu
Hector Lombard;Judo
Hector Urbina;MMA
Henry Cejudo;Wrestling
Henry Martinez;MMA
Hermes Franca;Brazilian Jiu Jitsu
Holly Holm;Boxing
Houston Alexander;Wrestling
Hugo Viana;Taekwondo
Hyun Gyu Lim;Taekwondo
Ian Entwistle;MMA
Ian Freeman;Boxing
Ian Loveland;Taekwondo
Ian McCall;Kung Fu
Igor Araujo;Brazilian Jiu Jitsu
Igor Pokrajac;Brazilian Jiu Jitsu
Ikuhisa Minowa;MMA
Ildemar Alcantara;Brazilian Jiu Jitsu
Ilir Latifi;Boxing
Isaac Vallie-Flagg;Brazilian Jiu Jitsu
Islam Makhachev;Russian Sambo
Issei Tamura;MMA
Iuri Alcantara;Brazilian Jiu Jitsu
Ivan Jorge;Brazilian Jiu Jitsu
Ivan Menjivar;Brazilian Jiu Jitsu
Ivan Salaverry;Muay Thai
Jack Nilson;MMA
Jacob Volkmann;Wrestling
Jake Collier;MMA
Jake Ellenberger;Wrestling
Jake Hecht;MMA
Jake Matthews;Brazilian Jiu Jitsu
Jake O'Brien;Wrestling
Jake Rosholt;Wrestling
