Lutadores;BackGround
Ryo Chonan;Karate
Sage Northcutt;Taekwondo
Sai Wang;MMA
Sam Adkins;MMA
Sam Alvey;Wrestling
Sam Hoger;Karate
Sam Sicilia;MMA
Sam Stout;Karate
Sanae Kikuta;Judo
Santiago Ponzinibbio;Kickboxing
Sara McMann;Wrestling
Sarah Kaufman;Kickboxing
Sarah Moras;MMA
Scott Adams;MMA
Scott Askham;Brazilian Jiu Jitsu
Scott Bessac;MMA
Scott Ferrozzo;MMA
Scott Holtzman;MMA
Scott Jorgensen;Wrestling
Scott Morris;MMA
Scott Smith;Wrestling
Sean McCorkle;MMA
Sean O'Connell;Boxing
Sean Pierson;Wrestling
Sean Sherk;Wrestling
Sean Spencer;MMA
Sean Strickland;MMA
Semmy Schilt;Karate
Seo Hee Ham;Kickboxing
Sergio Moraes;Brazilian Jiu Jitsu
Sergio Pettis;Taekwondo
Seth Baczynski;MMA
Shamar Bailey;MMA
Shamil Abdurakhimov;Kickboxing
Shane Campbell;Kickboxing
Shane Carwin;Boxing
Shane Nelson;Brazilian Jiu Jitsu
Shane Roller;Wrestling
Shannon Gugerty;Boxing
Shawn Jordan;Wrestling
Sheldon Westcott;MMA
Shinsho Anzai;Wrestling
Shonie Carter;Wrestling
Simeon Thoresen;Muay Thai
Sione Latu;MMA
Sirwan Kakai;MMA
Siyar Bahadurzada;Kickboxing
Soa Palelei;Wrestling
Spencer Fisher;Wrestling
Stanislav Nedkov;Wrestling
Stefan Struve;MMA
Stephan Bonnar;Brazilian Jiu Jitsu
Stephen Thompson;Karate
Steve Bruno;MMA
Steve Cantwell;Kickboxing
Steve Jennum;MMA
Steve Nelmark;MMA
Steven Graham;MMA
Steven Ray;MMA
Steven Siler;MMA
Stipe Miocic;Boxing
T.J. Dillashaw;Muay Thai
T.J. Grant;Wrestling
T.J. Waldburger;Brazilian Jiu Jitsu
Tae Hyun Bang;MMA
Tai Bowden;MMA
Takanori Gomi;Kickboxing
Takeya Mizugaki;Boxing
Tamdan McCrory;Wrestling
Tarec Saffiedine;Karate
Tatsuya Kawajiri;Kickboxing
Taylor Lapilus;MMA
Tecia Torres;Taekwondo
Tedd Williams;MMA
Terry Etim;MMA
Terry Martin;Boxing
Thales Leites;Brazilian Jiu Jitsu
Thiago Alves;Muay Thai
Thiago de Oliveira Perpetuo;Brazilian Jiu Jitsu
Thiago Santos;Muay Thai
Thiago Silva;Kickboxing
Thiago Tavares;Brazilian Jiu Jitsu
Thomas Almeida;Muay Thai
Tiago dos Santos e Silva;Brazilian Jiu Jitsu
Tiequan Zhang;Wrestling
Tim Boetsch;Wrestling
Tim Credeur;Brazilian Jiu Jitsu
Tim Elliott;Wrestling
Tim Hague;Boxing
Tim Kennedy;Brazilian Jiu Jitsu
Tim Lajcik;MMA
Tim Means;MMA
Tim Sylvia;Boxing
Timothy Johnson;Wrestling
Tito Ortiz;Boxing
Todd Duffee;MMA
Todd Medina;MMA
Tom Breese;Brazilian Jiu Jitsu
Tom Lawlor;Wrestling
Tom Murphy;MMA
Tom Niinimaki;Wrestling
Tom Watson;Muay Thai
Tomasz Drwal;MMA
Tony DeSouza;Brazilian Jiu Jitsu
Tony Ferguson;Brazilian Jiu Jitsu
Tony Fryklund;Boxing
Tony Martin;Brazilian Jiu Jitsu
Tony Sims;MMA
Tor Troeng;Brazilian Jiu Jitsu
Travis Browne;Muay Thai
Travis Fulton;Boxing
Travis Lutter;Wrestling
Trevor Prangley;Kickboxing
Trevor Smith;Wrestling
Troy Mandaloniz;MMA
Tsuyoshi Kosaka;Judo
Tulio Palhares;MMA
Tyron Woodley;Boxing
Tyson Griffin;Kickboxing
Uriah Hall;Karate
Urijah Faber;Wrestling
Vagner Rocha;Brazilian Jiu Jitsu
Valentina Shevchenko;Muay Thai
Valerie Letourneau;Boxing
Valmir Lazaro;MMA
Vaughan Lee;Muay Thai
Vernon White;MMA
Vicente Luque;Brazilian Jiu Jitsu
Vik Grujic;MMA
Viktor Pesta;MMA
Vinc Pichel;MMA
Vinny Magalhaes;Brazilian Jiu Jitsu
Viscardi Andrade;Brazilian Jiu Jitsu
Vitor Belfort;Brazilian Jiu Jitsu
Vitor Miranda;Kickboxing
Vladimir Matyushenko;Wrestling
Wagner Prado;Brazilian Jiu Jitsu
Walel Watson;MMA
Wanderlei Silva;Muay Thai
War Machine;Wrestling
Warlley Alves;Brazilian Jiu Jitsu
Waylon Lowe;Wrestling
Wesley Correira;Boxing
William Macario;MMA
Willie Gates;MMA
Wilson Gouveia;Brazilian Jiu Jitsu
Wilson Reis;Brazilian Jiu Jitsu
Yair Rodriguez;Taekwondo
Yan Cabral;Brazilian Jiu Jitsu
Yancy Medeiros;Boxing
Yaotzin Meza;MMA
Yoel Romero;Wrestling
Yosdenis Cedeno;Karate
Yoshihiro Akiyama;MMA
Yoshiyuki Yoshida;Judo
Yui Chul Nam;Taekwondo
Yuki Kondo;Karate
Yushin Okami;Judo
Yuta Sasaki;Kickboxing
Yves Edwards;Muay Thai
Yves Jabouin;MMA
Zach Makovsky;Wrestling
Zak Cummings;Wrestling
Zhikui Yao;Wrestling
Zubaira Tukhugov;MMA
