category;style
Striking;Boxing
Striking;Capoeira
Striking;Karate
Striking;Krav Maga
Striking;Kung Fu
Striking;Muay Thai
Striking;Taekwondo
Grappling;Brazilian Jiu Jitsu
Grappling;Russian Sambo
Grappling;Judo
Grappling;Wrestling
