"","X.2","X.1","X","pageurl","eid","mid","event_name","event_org","event_date","event_place","f1pageurl","f2pageurl","f1name","f2name","f1result","f2result","f1fid","f2fid","method","method_d","ref","round","time","year","f1BackGround","f2BackGround","f1win","f2win","value","minutos_de_luta","winner_style","mach_vector"
"190",190,190,190,"/events/UFC-40-Vendetta-1220",1220,3,"UFC 40 - Vendetta","Ultimate Fighting Championship","11/22/2002","MGM Grand Garden Arena, Las Vegas, Nevada, United States","/fighter/Andrei-Arlovski-270","/fighter/Ian-Freeman-242","Andrei Arlovski","Ian Freeman","win","loss",270,242,"KO","Punches","N/A",1,"1:25",2002,"Russian Sambo","Boxing",1,0,1,1.42,"Russian Sambo","Boxing vs Russian Sambo"
"191",191,191,191,"/events/UFC-41-Onslaught-1424",1424,5,"UFC 41 - Onslaught","Ultimate Fighting Championship","2/28/2003","Boardwalk Hall, Atlantic City, New Jersey, United States","/fighter/Matt-Lindland-276","/fighter/Phil-Baroni-278","Matt Lindland","Phil Baroni","win","loss",276,278,"Decision","Unanimous","N/A",3,"5:00",2003,"Wrestling","Kickboxing",1,0,1,15,"Wrestling","Kickboxing vs Wrestling"
"192",192,192,192,"/events/UFC-41-Onslaught-1424",1424,4,"UFC 41 - Onslaught","Ultimate Fighting Championship","2/28/2003","Boardwalk Hall, Atlantic City, New Jersey, United States","/fighter/Vladimir-Matyushenko-435","/fighter/Pedro-Rizzo-208","Vladimir Matyushenko","Pedro Rizzo","win","loss",435,208,"Decision","Unanimous","N/A",3,"5:00",2003,"Wrestling","Muay Thai",1,0,1,15,"Wrestling","Muay Thai vs Wrestling"
"193",193,193,193,"/events/UFC-41-Onslaught-1424",1424,3,"UFC 41 - Onslaught","Ultimate Fighting Championship","2/28/2003","Boardwalk Hall, Atlantic City, New Jersey, United States","/fighter/Din-Thomas-1301","/fighter/Matt-Serra-1305","Din Thomas","Matt Serra","win","loss",1301,1305,"Decision","Split","N/A",3,"5:00",2003,"Brazilian Jiu Jitsu","Kung Fu",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Kung Fu"
"194",194,194,194,"/events/UFC-42-Sudden-Impact-1469",1469,8,"UFC 42 - Sudden Impact","Ultimate Fighting Championship","4/25/2003","American Airlines Arena, Miami, Florida, United States","/fighter/Matt-Hughes-232","/fighter/Sean-Sherk-277","Matt Hughes","Sean Sherk","win","loss",232,277,"Decision","Unanimous","N/A",5,"5:00",2003,"Wrestling","Wrestling",1,0,1,25,"Wrestling","Wrestling vs Wrestling"
"195",195,195,195,"/events/UFC-42-Sudden-Impact-1469",1469,3,"UFC 42 - Sudden Impact","Ultimate Fighting Championship","4/25/2003","American Airlines Arena, Miami, Florida, United States","/fighter/Duane-Ludwig-101","/fighter/Genki-Sudo-1227","Duane Ludwig","Genki Sudo","win","loss",101,1227,"Decision","Unanimous","N/A",3,"5:00",2003,"Kickboxing","Brazilian Jiu Jitsu",1,0,1,15,"Kickboxing","Brazilian Jiu Jitsu vs Kickboxing"
"196",196,196,196,"/events/UFC-44-Undisputed-1688",1688,9,"UFC 44 - Undisputed","Ultimate Fighting Championship","9/26/2003","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Randy-Couture-166","/fighter/Tito-Ortiz-158","Randy Couture","Tito Ortiz","win","loss",166,158,"Decision","Unanimous","N/A",5,"5:00",2003,"Wrestling","Boxing",1,0,1,25,"Wrestling","Boxing vs Wrestling"
"197",197,197,197,"/events/UFC-44-Undisputed-1688",1688,6,"UFC 44 - Undisputed","Ultimate Fighting Championship","9/26/2003","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Jorge-Rivera-2712","/fighter/David-Loiseau-903","Jorge Rivera","David Loiseau","win","loss",2712,903,"Decision","Unanimous","N/A",3,"5:00",2003,"Brazilian Jiu Jitsu","MMA",1,0,1,15,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs MMA"
"198",198,198,198,"/events/UFC-45-Revolution-1863",1863,4,"UFC 45 - Revolution","Ultimate Fighting Championship","11/21/2003","Mohegan Sun Arena, Uncasville, Conneticut, United States","/fighter/Robbie-Lawler-2245","/fighter/Chris-Lytle-267","Robbie Lawler","Chris Lytle","win","loss",2245,267,"Decision","Unanimous","N/A",3,"5:00",2003,"MMA","Boxing",1,0,1,15,"MMA","Boxing vs MMA"
"199",199,199,199,"/events/UFC-45-Revolution-1863",1863,3,"UFC 45 - Revolution","Ultimate Fighting Championship","11/21/2003","Mohegan Sun Arena, Uncasville, Conneticut, United States","/fighter/Pedro-Rizzo-208","/fighter/Ricco-Rodriguez-8","Pedro Rizzo","Ricco Rodriguez","win","loss",208,8,"Decision","Unanimous","N/A",3,"5:00",2003,"Muay Thai","Brazilian Jiu Jitsu",1,0,1,15,"Muay Thai","Brazilian Jiu Jitsu vs Muay Thai"
"200",200,200,200,"/events/UFC-41-Onslaught-1424",1424,6,"UFC 41 - Onslaught","Ultimate Fighting Championship","2/28/2003","Boardwalk Hall, Atlantic City, New Jersey, United States","/fighter/BJ-Penn-1307","/fighter/Caol-Uno-283","B.J. Penn","Caol Uno","OTHER","OTHER",1307,283,"OTHER","","N/A",5,"5:00",2003,"Brazilian Jiu Jitsu","Wrestling",0,0,1,25,"Wrestling","Brazilian Jiu Jitsu vs Wrestling"
"201",201,201,201,"/events/UFC-43-Meltdown-1614",1614,4,"UFC 43 - Meltdown","Ultimate Fighting Championship","6/6/2003","Thomas and Mack Center, Las Vegas, Nevada, United States","/fighter/Vernon-White-296","/fighter/Ian-Freeman-242","Vernon White","Ian Freeman","OTHER","OTHER",296,242,"OTHER","","N/A",3,"5:00",2003,"MMA","Boxing",0,0,1,15,"Boxing","Boxing vs MMA"
"202",202,202,202,"/events/UFC-42-Sudden-Impact-1469",1469,1,"UFC 42 - Sudden Impact","Ultimate Fighting Championship","4/25/2003","American Airlines Arena, Miami, Florida, United States","/fighter/David-Loiseau-903","/fighter/Mark-Weir-3599","David Loiseau","Mark Weir","win","loss",903,3599,"KO","Punches","N/A",1,"3:55",2003,"MMA","Taekwondo",1,0,1,3.92,"MMA","MMA vs Taekwondo"
"203",203,203,203,"/events/UFC-44-Undisputed-1688",1688,8,"UFC 44 - Undisputed","Ultimate Fighting Championship","9/26/2003","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Andrei-Arlovski-270","/fighter/Vladimir-Matyushenko-435","Andrei Arlovski","Vladimir Matyushenko","win","loss",270,435,"KO","Punch","N/A",1,"1:59",2003,"Russian Sambo","Wrestling",1,0,1,1.98,"Russian Sambo","Russian Sambo vs Wrestling"
"204",204,204,204,"/events/UFC-44-Undisputed-1688",1688,1,"UFC 44 - Undisputed","Ultimate Fighting Championship","9/26/2003","Mandalay Bay Events Center, Las Vegas, Nevada, United States","/fighter/Hermes-Franca-3068","/fighter/Caol-Uno-283","Hermes Franca","Caol Uno","win","loss",3068,283,"KO","Punch","N/A",2,"2:46",2003,"Brazilian Jiu Jitsu","Wrestling",1,0,1,7.77,"Brazilian Jiu Jitsu","Brazilian Jiu Jitsu vs Wrestling"
"205",205,205,205,"/events/UFC-41-Onslaught-1424",1424,7,"UFC 41 - Onslaught","Ultimate Fighting Championship","2/28/2003","Boardwalk Hall, Atlantic City, New Jersey, United States","/fighter/Frank-Mir-2329","/fighter/David-Abbott-110","Frank Mir","David Abbott","win","loss",2329,110,"Submission","Toe Hold","Larry Landless",1,"0:46",2003,"Karate","Wrestling",1,0,1,0.77,"Karate","Karate vs Wrestling"
